sequence	filename
>NAME=TRNAAspGTC&LOCI=[chr12:122860924-122860994:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr12.tRNA7-AspGTC&GENOME=hg19	file621
>NAME=TRNAAsnGTT&LOCI=[chr1:149211948-149212021:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA104-AsnGTT&GENOME=hg19	file620
>HGNC=10166&HUGO-Symbol=SNORD37&HUGO-Name=small_nucleolar_RNA,_C/D_box_37&LOCI=[chr19:3982495-3982580:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002602&GENOME=hg19	file623
>HGNC=41708&HUGO-Symbol=MIR4510&HUGO-Name=microRNA_4510&LOCI=[chr15:36219047-36219134:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039735&GENOME=hg19	file622
>HGNC=32952&HUGO-Symbol=SNORD118&HUGO-Name=small_nucleolar_RNA,_C/D_box_118&LOCI=[chr17:8076761-8076916:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_033294&GENOME=hg19	file625
>HGNC=33572&HUGO-Symbol=SNORD105B&HUGO-Name=small_nucleolar_RNA,_C/D_box_105B&LOCI=[chr19:10220423-10220521:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003688&GENOME=hg19	file624
>HGNC=32753&HUGO-Symbol=SNORD91B&HUGO-Name=small_nucleolar_RNA,_C/D_box_91B&LOCI=[chr17:2232409-2232514:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003073&GENOME=hg19	file627
>HGNC=10233&HUGO-Symbol=SNORA71B&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_71B&LOCI=[chr20:37053833-37053990:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002910&GENOME=hg19	file626
>NAME=TRNAAspGTC&LOCI=[chr5:141773988-141774059:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr5.tRNA22-AspGTC&GENOME=hg19	file629
>HGNC=32916&HUGO-Symbol=MIR660&HUGO-Name=microRNA_660&LOCI=[chrX:49777839-49777955:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030397&GENOME=hg19	file628
